firstpost_date,content
04-03-2015,"Fraud accounts for 6% of Apple Pay transactions, vs. 0.1% of transactions using a plastic card to swipe. http://t.co/dedCeGeVgB $AAPL"
18-03-2015,How to turn your Apple Watch into an office: http://t.co/scz4ccPgfz $AAPL http://t.co/xxK9gTCsqc
03-03-2015,Pulling the brakes on $AAPL » http://t.co/b9kwSu5ofs http://t.co/ccPAFkZNY8
06-03-2015,BREAKING: Apple to replace AT&amp;T in Dow industrials. http://t.co/02DiDgNSxZ $AAPL $T
06-03-2015,"""This is a sign of the times."" Apple to replace AT&amp;T in Dow industrials on March 18: http://t.co/J4qqomZKHs $AAPL $T http://t.co/UJuBEjaTOQ"
06-03-2015,"#Apple to join the Dow Jones Industrial Average on March 18, replacing AT&amp;T: http://t.co/mQmYqZaMaB $AAPL $T http://t.co/4D2FS3jKvr"
13-03-2015,Apple's Tim Cook calls @jimcramer and the look on his face is brilliant: http://t.co/OiAJxIvmOB $AAPL http://t.co/2xzvUaTqyD
16-03-2015,Can a mutual fund ever own too much Apple? @dkrandall reports http://t.co/IXrCHMiVqq $AAPL http://t.co/Wd0vTb5caq
04-03-2015,"This guy has made $50,000 since he first bought Apple shares http://t.co/esqVFNL3rs $AAPL http://t.co/rCNcNXFFbK"
09-03-2015,How buying Apple stock made these regular Americans rich: http://t.co/LKJigKjObq  $AAPL http://t.co/XIaSETxVf2
06-03-2015,The Apple Watch may have a mysterious port that could solve its biggest problem $AAPL http://t.co/lUy7Hm2Msq http://t.co/8dnb3HjPTf
07-03-2015,Customers are fleeing Samsung for the iPhone $AAPL http://t.co/4UsLp51VVn
06-03-2015,"Apple will hit $1,000,000,000,000 when THIS happens: http://t.co/CoanQg32Yp • $AAPL pic.twitter.com/QJY7Su"
16-03-2015,"Gold Macbook! $10,000+ Apple Watch! Apple now is all about China. $AAPL #iphone http://t.co/lVrKZWkrrn http://t.co/lLKZSCdVwX"
10-03-2015,Meet Apple's latest store in China: http://t.co/SUcRShaoG5 • $AAPL http://t.co/PYc2WBkuTN
07-03-2015,"iPhone sales are going to be mammoth this quarter, says UBS $AAPL http://t.co/FFxwW2k73G"
07-03-2015,Apple has an unprecedented opportunity to steal more Samsung customers this year $AAPL http://t.co/FFxwW2k73G
10-03-2015,"Apple unveils a new thinner, lighter MacBook » http://t.co/SUcRShaoG5 • $AAPL http://t.co/gShAxyJ4hf"
11-03-2015,My iWatch under $1.   $aapl http://t.co/Y1yXOfFdS9
07-03-2015,Apple Pay stung in transactions using data stolen from retailers: report http://t.co/ly08cy2FgI $AAPL http://t.co/RY6K0PyPZD
14-03-2015,Thanks @ScottWapnerCNBC for mentioning what we've been up to with $aapl!!
13-03-2015,Amazing!!! “Missed the infamous call to @jimcramer from $AAPL's @tim_cook? Here you go http://t.co/eLkHNUR2N9 http://t.co/MrFyb0kmn7”
10-03-2015,"Finally: ""Apple Watch is the most personal device we've ever created."" $AAPL #AppleWatch"
13-03-2015,Missed the infamous call to @jimcramer from $AAPL's @tim_cook? No problem! Here you go #MMX http://t.co/mc3zzGlTKH http://t.co/Een95zdePJ
11-03-2015,3 mins if you use it as a phone RT @GEQSense: Can't wait for 2020 when they unveil the $AAPL #iCAR which can only drive to 30 mins.
18-03-2015,$AAPL joins the Dow tomorrow. See how the index has changed over 131 years http://t.co/Cv0zhHCqpk @talyellin http://t.co/m7B8g6o6LU
10-03-2015,#AppleLive is now the top Trending Topic worldwide on Twitter. • $AAPL
09-03-2015,Five things to look for at Apple's highly-anticipated Watch launch http://t.co/iDk4viDWtx @shanedingman $AAPL #tech http://t.co/YprOXECzx6
19-03-2015,Apple Inc. is finally being added to the Dow Jones Industrial Average today: http://t.co/26I405a3Ru $AAPL http://t.co/8poVwV3U6F
21-03-2015,Apple TV is bigger than we all think @HBlodget http://t.co/IFOshBwKE8 $AAPL
10-03-2015,"After the launch of the Apple Watch, read our interview with its creator, Jonathan Ive: http://t.co/q7j5EAfxaJ $AAPL http://t.co/nftrAPOpdn"
16-03-2015,Who's afraid of the Apple Watch? $AAPL http://t.co/CYU8Jkcerb
09-03-2015,"Today, a big Apple event starts at 1 PM ET. Here's how $AAPL has traded over its last 3 announcements http://t.co/DtLZrnaKwc"
03-03-2015,Apple $AAPL could be valued above $1 trillion within the next 12 months from nearly $750 billion today. See why: http://t.co/fPfdczLm2G
15-03-2015,Here's how the new #AppleWatch works http://t.co/8lfDu0Azy2  $aapl http://t.co/1wYxGIVwVF
12-03-2015,"Overcoming $INTC is amazing--I don't like $MSFT either.. $AAPL a winner not a loser on this--cellphones strong, P.C's strong"
05-03-2015,Smart bets like $AAPL and $NFLX are going to make Brett Icahn a few bucks: about $183 million http://t.co/8rjgLB5hjV via @nathanvardi
19-03-2015,How Apple is helping Nike become a tech company http://t.co/Of32CWBuLC $NKE $AAPL
10-03-2015,Apple Watch Apps are looking tighter -- @kevinlynch is a huge asset to $AAPL http://t.co/4clRRqD8ts
09-03-2015,The size of US companies vs. the size of Europe's various stock markets -&gt; http://t.co/z4qyszpP9j $AAPL http://t.co/CawEgnn7Qx
06-03-2015,Apple delays larger iPads for six months http://t.co/K0JTBZAKHh $AAPL http://t.co/pWeV1DTXlJ
17-03-2015,"Apple in talks to launch online TV service, @wsj reports. http://t.co/iTEHiVKyUl $AAPL"
10-03-2015,Apple just announced a partnership with HBO and Netflix is now down 2.5% -&gt; http://t.co/mlPl8tqLHl $AAPL $NFLX http://t.co/erGjOj0Neq
10-03-2015,USG Black Budget for subverting endpoints ~$35m https://t.co/WzPGl8schw $AAPL revenue ~$300bn your move @tim_cook : https://t.co/EmSBzuyB0r
10-03-2015,"Things you could buy instead of a $17,000 Apple Watch:  134 shares of $AAPL A 2014 Ford Focus 1 Chipotle burrito/day for the next 2656 days"
10-03-2015,Whoa! Incredible intraday swing in Apple. It's now hitting a new daily *LOW* -&gt; http://t.co/PBr2MIaUpx $AAPL http://t.co/U95MgT54dY
08-03-2015,How two share splits led to Apple's move to the DJIA. $aapl $djia http://t.co/gglvDgIMeF http://t.co/rSAG9kvGSJ
10-03-2015,Apple Watch: Here's how it works http://t.co/JhmTt5BgZc $AAPL @sjpulvirent http://t.co/OucsueIgI8
08-03-2015,"The Dow just became a bit more hip. But not more relevant, writes @MKTWJaffe. http://t.co/OvEakK3wPv $AAPL"
10-03-2015,No wonder stock watchers are prone to be bearish on $AAPL. Massive suspension of disbelief required to comprehend this pace of progress.
10-03-2015,"How much does the 18-karat gold Apple Watch Edition cost? It's the same amount as 79 $AAPL shares. ($10,000) [via @HumOnTheMarkets]"
03-03-2015,Apple Pay vulnerable to identity theft scam http://t.co/ylwk7Zd8Ji $AAPL
04-03-2015,"14 charts worth your time: Apple, macro trends, and global inequality http://t.co/k0jf97mfqO via @CFAinstitute $AAPL http://t.co/QBNQX4e5PX"
10-03-2015,Apple has gone parabolic since its special event started. Now up 2%+ -&gt; http://t.co/T8J3uUELEb $AAPL http://t.co/4oaM53dmIo
03-03-2015,$AAPL spent $54 billion on share buybacks last year. Here’s what that did to its share count http://t.co/ay4EzvmeCh http://t.co/2YtyVqYtoS
09-03-2015,What to expect from the #AppleWatch event today. $aapl http://t.co/zHPh2Bpjp3 http://t.co/Mb0TtVzhCj
05-03-2015,HBO in talks with Apple to launch video streaming service: report http://t.co/BY7nk8r0m1 $AAPL
06-03-2015,JUST IN: Apple to join the Dow; AT&amp;T gets the boot $AAPL $T
06-03-2015,Apple’s secret lab where Facebook and BMW build Watch apps: http://t.co/ANbv3u0pQU  $FB $AAPL http://t.co/FiB50J7Hx8
18-03-2015,What can we expect from an Apple TV streaming service? http://t.co/InjCMA5g6H  $aapl http://t.co/JjuSctzNNJ
10-03-2015,How a Fidelity tech fund trounces all rivals without holding #Apple: http://t.co/CMGgSM6mB2 $AAPL http://t.co/KUIBjXCMpL
21-03-2015,Apple lost $11 billion in market cap right before the closing bell. The stock market never bores -&gt; http://t.co/UA9efW64aA $AAPL
18-03-2015,#MarchMadness time starting now! @jimcramer talks $AAPL &amp; $TSLA in his Midwest team picks. Tune in now! http://t.co/JuSTRRksVn
03-03-2015,Apple could be valued above $1 TRILLION within the next 12 months $AAPL  http://t.co/2lIE0p91rJ
10-03-2015,What it's like making a call on the Apple Watch http://t.co/Z7JtQtw6dl  #applewatch $AAPL http://t.co/hDmqL8EdO4
11-03-2015,Tech is getting crushed today. Biotech is the only sector holding up -&gt; http://t.co/fUbF5zKyle $AAPL $ACAD $IBB http://t.co/MaKfg797x6
06-03-2015,BREAKING: #Apple to join Dow Industrials: CNBC $AAPL
19-03-2015,60% of apps in the Apple App Store have never ever been downloaded. $AAPL
14-03-2015,Don't need a Reuters poll to even figure that out RT @OpenOutcrier: $AAPL reuter poll saying iWatch not showing much interest
09-03-2015,How the Apple Watch compares with rivals. $AAPL http://t.co/jpy1ulcyIS http://t.co/C4cH64H3QA
17-03-2015,"RT @WSJ: Apple could price its proposed online TV service at $30 to $40, launch in Sept http://t.co/EsRWk4W7eb $AAPL http://t.co/9gMskobYLo"
18-03-2015,"Shares of cable companies fall, while $AAPL rallies on talk of Apple TV service http://t.co/yJA7GcyZ7T http://t.co/Df4WYMNqcU"
03-03-2015,Nasdaq 5000 in 1999 vs. Nasdaq 5000 now.  The 10 largest companies -&gt; http://t.co/RB11QIb6zm $MSFT $AAPL $CSCO http://t.co/S8sy4e1P8r
11-03-2015,Look to Whole Foods to See How the Apple Watch Could Change Retail $AAPL http://t.co/s6G8Pzg21n http://t.co/eQpE3AR3VC
02-03-2015,Apple Steps Into Virtual Reality http://t.co/twa7KEHAwM $AAPL #VR #VirtualReality #AR http://t.co/wllSsyDa7D
05-03-2015,Inside Greater China: An exclusive look at Apple Inc in Taiwan http://t.co/mSJj0RHTVM $AAPL http://t.co/8nE9WCjM2Y
17-03-2015,"#Apple's much-hinted-at TV service may soon become a reality, @wsj reports: http://t.co/Y874JzoeuG $AAPL http://t.co/a7xldgdEQd"
18-03-2015,Is Apple finally ready to roll out a streaming TV service? http://t.co/Cqvtt3Y1WB $AAPL http://t.co/eHZaslxvMf
04-03-2015,Apple hits $1 trillion when this happens (Photo: AP): http://t.co/jBmcH91z6V  $aapl http://t.co/132PVx3zA2
21-03-2015,"Apologies, but really, the takeaway of my comments is that i say own not trade $AAPL so the question seems wrong to me @Justinmax"
04-03-2015,Apple worth $1 trillion: here’s how it could happen. $AAPL http://t.co/Ki5KBxL4cG via @mattkrantz http://t.co/3JWfsNKuyF
17-03-2015,"Why I don’t like the $17,000 Apple Watch http://t.co/KS3lj6KFnW via @MicroFundy $AAPL http://t.co/O4wWdzkTRr"
18-03-2015,Apple spent more than 4 times as much as any other company on share buybacks in 2014 $AAPL http://t.co/GGAmSu8S0Q http://t.co/5SgkqsnYhD
18-03-2015,Here's an example of an ad HBO and Apple are running about their new partnership -&gt; http://t.co/44NFOspNyq $AAPL $TWX
06-03-2015,BREAKING: #Apple to replace AT&amp;T in Dow Industrials: CNBC $AAPL
02-03-2015,Here’s a list of the stocks hedge funds loved most in Q4 -&gt; http://t.co/I8agkCipER $AAPL $AGN $MSFT http://t.co/Mh26X1iSXt
06-03-2015,What #Apple’s Dow industrials addition will do to its stock: http://t.co/NEwkvrXHmr $AAPL http://t.co/Q7zChlFzgu
10-03-2015,700 million: number of iPhones sold $AAPL
19-03-2015,"Apple becomes part of the Dow Jones Industrial Index today, but what does it mean? http://t.co/A2SQk8Y8AF $AAPL http://t.co/z705xb0pld"
16-03-2015,Who's afraid of the Apple Watch? $AAPL http://t.co/Ljzy9T06QT #iPhone
09-03-2015,Watch technology has come a long way $AAPL http://t.co/ZyezDQpBeZ
18-03-2015,Apple spent more in buybacks than any other S&amp;P company in 4Q2014: http://t.co/QA188HTLWE $AAPL http://t.co/go6ShhH5Ir
11-03-2015,What is social data saying about the Apple Watch? http://t.co/F2KpY4zLo6 via @LikeFolio $AAPL http://t.co/1n76wOrinK
12-03-2015,"BREAKING: Apple’s iTunes, App store reopen after long outage $AAPL http://t.co/p2FUYjZReb"
10-03-2015,"When it comes down to it, Apple $AAPL is really creating the watch for technocratic 1%. http://t.co/9UQCRRpKOy http://t.co/Z17lbWweWg"
18-03-2015,Apple TV Service Prepped For Launch in Fall http://t.co/0YaY86JCUm $AAPL #iOS #iPhone6 #iPad http://t.co/3XpFpKYqDe
10-03-2015,We've come a long way $AAPL http://t.co/ZyezDQpBeZ
07-03-2015,"""Watch"" the $AAPL governance - the untransparent designs of Jony Ive. @richardbeales1: http://t.co/UifIKR9epd http://t.co/y1Rx9NHZ3o"
07-03-2015,"The Nasdaq, where $AAPL is listed, has put up a congrats message in Times Sq. to the company for joining the Dow. http://t.co/LrpIFCjEgI"
21-03-2015,How Apple's helping Nike become a tech company http://t.co/mBQLBL9ivL $NKE $AAPL
07-03-2015,VIDEO: Apple is replacing AT&amp;T in the widely watched Dow. http://t.co/emTOVu0ahL $AAPL $T
06-03-2015,Apple $AAPL will be part of the iconic Dow stock index starting March 19 http://t.co/0cHvqUbB7J
19-03-2015,What's next for At&amp;T now that Apple has pushed it out of Dow? $T $AAPL $VZ http://t.co/KtclJ3CejO iPhone by @gwenguns http://t.co/QFwwQ9EGQZ
10-03-2015,"5/5: From @Street_Insider, here's a list of potential suppliers and competitors to watch http://t.co/Nq2Y3xk2Vw $AAPL http://t.co/FXRcgyWDE3"
10-03-2015,Apple Watch: 50 Shades Of 'Meh' $AAPL http://t.co/bezA71zbml @TALENTEDBLONDE http://t.co/e2ejNlVOaI
21-03-2015,"Here's final hour of Apple trading today + afterhours...very heavy volume into close, options expiry related $AAPL http://t.co/fSL83UyfGw"
10-03-2015,Apple Watch: 50 Shades of ‘Meh’ http://t.co/e2tjy11jr3 via @talentedblonde $AAPL
03-03-2015,What would the Dow look like if it included Apple? http://t.co/jDJKvL1vFd $AAPL http://t.co/qGcsy5n5Ed
21-03-2015,"In the last 9 minutes of trading, one $AAPL drop wiped out $5.1 MILLION worth of trades -&gt; http://t.co/dk0buevJd6"
06-03-2015,The Apple Watch may have a mysterious port that could solve its biggest problem $AAPL http://t.co/fh65z17g5X http://t.co/Uskdi7m3ec
06-03-2015,Here are the key details about Apple joining the Dow. Press release courtesy of @Street_Insider.  $AAPL $DJIA http://t.co/mV1bDQ67Qw
10-03-2015,@JohnLegere when will you offer an $AAPL watch with a sub? I am all in $TMUS when you do
20-03-2015,Apple Now on the Dow Jones Industrial Avg How $AAPL affects the #Dow http://t.co/kR6JIdMARU #stocks #iPhone6 http://t.co/Oilk4xxvKM
10-03-2015,"Apple will be HBO's exclusive partner for HBO Now, it's standalone streaming service. http://t.co/abY1lgSWQz $AAPL"
03-03-2015,Bill Gross may be thinking about these stocks http://t.co/UVIu5PE7jF $AAPL @MarketWatch http://t.co/ZnjRF3b6kt
09-03-2015,Tomorrow is a historic day as #apple will try to get you to use the phone they need to sell you less $aapl
01-03-2015,Apple Introduces iWork for iCloud for All http://t.co/HCfZab9zBN  $AAPL #Mac #iPhone6 #iOS #iPad http://t.co/U3FzZlAFD7
21-03-2015,Then please block me!! RT @BallsyStocks: @jimcramer @Justinmax you'll probably make more money by trading $AAPL. Volatility is nice
17-03-2015,Very Solid technical take on $AAPL by @toddgordontrade RT @TradingNation It’s time to buy Apple—I’m playing for $140: http://t.co/AP5nofHo2W
14-03-2015,Apple just made it easier to dump your cable company http://t.co/R5wkkrjEo7 $AAPL
06-03-2015,#BREAKING: Apple to replace AT&amp;T in Dow Jones Industrial Average http://t.co/ApSSfezMxc $AAPL $T
12-03-2015,The #CIA Campaign to Steal #Apple's Secrets http://t.co/sfKnBDDTqn $AAPL #USA #iPhone6 #iPad #cybersecurity http://t.co/FJgv1GnOnB
20-03-2015,So good.   RT @ampressman: Best piece on cord cutting: A business dies first slowly then quickly. @asymco http://t.co/PT93p3oD2B $AAPL
08-03-2015,"The #AppleWatch is coming Monday, March 9 Here's what you need to know. http://t.co/7JqSveXV9B $AAPL #iPhone6 #Apple http://t.co/0y93E4TQ4f"
06-03-2015,Here's what happens when:  NFPs crush estimates $AAPL joins the Dow Gene Munster talks $TWTR  Apologies. Fix coming. http://t.co/80XqugyGBE
17-03-2015,Europe's Quantitative Easing Has Already Failed http://t.co/8bOdW8LBjb #IBDNews via @IBDinvestors  $AAPL
10-03-2015,ISIS is like the $AAPL of Jihadism.
15-03-2015,Apple Eyeing this $10 Trillion Industry Dwarfs the Smartphone http://t.co/MRZntbY9bD $AAPL #iPhone6 #AppleWatch #USA http://t.co/JW4knHWNrh
11-03-2015,Will you buy an Apple Watch? http://t.co/1SVRcHZwKK  #applewatch $AAPL http://t.co/PNIxZWN4CP
04-03-2015,RT @CNNMoney: How buying Apple stock made these regular Americans rich: http://t.co/LKJigK2djS $AAPL http://t.co/61LHrpk6Xj
06-03-2015,Phablets: A “game-changing form factor” comes of age http://t.co/xufXQmfQuc via @FlurryMobile $AAPL http://t.co/iOhJ6NPqjY
16-03-2015,Who's afraid of the Apple Watch? $AAPL http://t.co/T4NDFVnFkn http://t.co/tpj9xOImFS
07-03-2015,Where would the Dow be if Apple had been added sooner? http://t.co/AtwSScshXU $AAPL
19-03-2015,"Many ways to skin the cat  RT @SeanLeonaired: @jimcramer Notre Dame in the finals? Kentucky is like $AAPL, they just get better"
13-03-2015,It's a Tim Cook $AAPL surprise! Tune in now to see @jimcramer get the heck shocked out of him http://t.co/TWz7B1M5AR
19-03-2015,Apple spent more in buybacks than any other S&amp;P company in 4Q2014: http://t.co/6ByglYuv20 $AAPL http://t.co/1UuZVDDNQj
17-03-2015,A historic bull market turns 6: http://t.co/2xX7pyB80z by our partner @covestor $SPY $AAPL $T
06-03-2015,$AAPL  tested and held it's rising 20 Day MA after a few weeks of run up. Good spot to look for a reversal
11-03-2015,Social data might be predicting an Apple Watch flop. http://t.co/Y1RT81lhcU $AAPL http://t.co/6lTxBGKCIZ
10-03-2015,Get ready for the Apple Watch announcement. Follow our liveblog here: http://t.co/cquTYneEzt $AAPL  #applewatch http://t.co/sXyPuQk9gL
17-03-2015,9 companies make Apple look like a pauper: http://t.co/qk3YYr9hvT (Photo: Getty) $AAPL http://t.co/1pmYHrdwWE
10-03-2015,Join me as I live blog the $AAPL #AppleWatch event. This should be fun. http://t.co/LbXlc6Rb9y
15-03-2015,Apple Pay vs Google Wallet vs Samsung Pay Drawing the Battle Lines http://t.co/6A3PJLH6ab $AAPL $GOOGL #ApplePay http://t.co/AZdBqsz0md
10-03-2015,Can Apple can transform itself into a fashion and luxury brand? Our Apple Watchlive blog: http://t.co/eQPZBlptIl $AAPL
10-03-2015,Record labels balked at Apple's plan to undercut Spotify $AAPL http://t.co/zBZC9xPtUp
06-03-2015,The world's most valuable company finally gets respect from the Dow. $AAPL to replace $T later this month. My story. http://t.co/NceXJeW5mG
17-03-2015,Apple could price its proposed online TV service at $30 to $40 and launch in September http://t.co/FKvWAgCWTa $AAPL @WSJD
16-03-2015,Who's afraid of the Apple Watch? $AAPL http://t.co/hTzWB3bzGz #apple
10-03-2015,“@RANsquawk: Loving my Apple Watch $AAPL http://t.co/ksPyqnmssy”
20-03-2015,Will Apple overcome the curse of the Dow Jones Industrial Average? http://t.co/gpWLPgbY7c $AAPL
07-03-2015,"Apple Pay fraud is growing, and banks can't deal http://t.co/GaTJbChbIS $AAPL"
10-03-2015,$AAPL Watch has 18 hour battery life.
20-03-2015,Shocking revelation: People still like Apple http://t.co/knEWqVY3Y8 via @TDANSherrod $AAPL http://t.co/DbXAr5AtQq
20-03-2015,Nasdaq congratulates Apple Inc. on joining the Dow Jones Industrial Average $AAPL #IgniteYourAmbition $DJI http://t.co/i26STOokxM
10-03-2015,$AAPL is secretly a performance art project aiming to demonstrate how much people will pay for something they don't need
09-03-2015,$AAPL watch presentation (live today) http://t.co/ogBaCWD7t4
07-03-2015,Is Apple going to be a major buyer of bullion after the launch of its gold watch? $AAPL http://t.co/DgP38iJtNw http://t.co/SY3pLANt8v
04-03-2015,Apple had a hot February on social http://t.co/HtB1a0veHN via @LikeFolio $AAPL
20-03-2015,Coming up on @GMA we're taking you where no cameras have before. Inside this top secret research lab at @Apple $AAPL http://t.co/RqvezZlN3R
12-03-2015,Wednesday’s notable options activity http://t.co/2hg1gADR0M via @RiskReversal $AAPL
06-03-2015,"Apple rises 1.2 percent at the open, AT&amp;T down 1 percent. $AAPL $T"
14-03-2015,Fantastic that @tim_cook called in Jim  @jimcramer: Thanks @ScottWapnerCNBC for mentioning what we've been up to with $aapl!!”
10-03-2015,A short period of wrist freedom — $AAPL via @tomstandage http://t.co/azZxto6nq1
10-03-2015,Another annoying iPhone app that users can't delete http://t.co/Q7gK0vS1zF $AAPL #AppleWatch http://t.co/skDkvMxdYr
03-03-2015,An Apple car? Why not? http://t.co/gp4kZbZyZz insights from our partner @Covestor $AAPL $TSLA
09-03-2015,Will the Apple Watch be a major tech industry game changer? http://t.co/NvTs0n5gVC  $AAPL http://t.co/e82A7fVZzo
15-03-2015,Amazing Apple Store Facts http://t.co/Jia2R9sjq7 $AAPL #USA #China #iPhone6 #AppleWatch #ApplePay http://t.co/2hagI51mQX
18-03-2015,$AAPL Apple's plans for building a streaming TV service are coming into sharper focus http://t.co/z31a4wipfv http://t.co/8RkuVe2Jq7
06-03-2015,"Apple to join Dow Jones Industrial Average this month, replacing AT&amp;T $DJI $AAPL $T"
04-03-2015,Apple Beats Samsung for the First Time in Global Smartphone Sales $AAPL http://t.co/dQDNsfZ5rw
10-03-2015,Coke machines to take $AAPL Pay.  Somewhere John Sculley is smirking.
10-03-2015,The new MacBook starts at $1299. Faster/more memory $1599. Ships April 10th. $AAPL #Apple
10-03-2015,The new MacBook starts at $1299. Faster/more memory $1599. Ships April 10th. $AAPL #Apple
11-03-2015,Why It Might Be Time To Take Some Apple Profits http://t.co/pxnkcnKNGB $AAPL #APPLE
04-03-2015,Tim Cook Just Revealed More Apple Watch Secrets http://t.co/GHncepFKYH $AAPL #AppleWatch #ApplePay #iPhone6 #iOS #USA http://t.co/s2IK6gEYWM
09-03-2015,Apple watch needs compelling use case: Sacconaghi http://t.co/G798U8j05e $AAPL #iWatch
09-03-2015,"The big 4 concerns coming from Apple analysts on the watch: 1. battery life, 2. design, 3. first generation hiccups, 4. PRICE. $AAPL"
18-03-2015,"Hackers pounced on Apple Pay. But don't you dare blame Apple, silly. @ktbenner $aapl http://t.co/8FSZX6MMna http://t.co/gXDmgiUUiP"
12-03-2015,One port to rule them all  http://t.co/jvd8SlKA0A  $AAPL
12-03-2015,23andMe hires former $DNA exec Richard Scheller to invent drugs; some thoughts on $AAPL http://t.co/y8iREjEDJF
10-03-2015,3/5: Here's $AAPL sentiment on StockTwits right now. 83% bullish vs. 17% bearish http://t.co/5W5ZD5QSyw http://t.co/fZAw45Tw67
10-03-2015,Apple Watch needs a killer app: Pro http://t.co/VcQw2By4PE $AAPL #iwatch
16-03-2015,"the one problem it was suppose to eliminate. RT @TheStreet: Apple Pay fraud is growing, and banks can't deal http://t.co/clir5Dt5GR $AAPL"
13-03-2015,".@jimcramer so, this happened. A happy 10 years of @MadMoneyOnCNBC from @tim_cook ! #Apple #AppleWatch #icon #investinamerica $aapl"
03-03-2015,Apple stock is making regular Americans rich http://t.co/YQqe3PTTA9 $AAPL http://t.co/SbzTjzhMnu
06-03-2015,A few days ago @Reuters looked at a DJIA with $aapl in it.  http://t.co/Km1w4D2tCy
18-03-2015,the next wave of cord-cutters $AAPL $AMZN $GOOG $DISH http://t.co/AWXCulQRVs http://t.co/5WCILojuPP
10-03-2015,"$AAPL Live Event is now over. A disappointment to me - see Real MoneyPro. Essentially,  I dont see why an iPhone owner needs the watch."
19-03-2015,VIDEO: 2 Minute Market Recap http://t.co/BKAQJ5JYDD $SPY $QQQ $AAPL $CELG
21-03-2015,RT @sspencer_smb: this is what happens in one of the most liquid stocks in the world when there is a 3mln sell imbalance. $AAPL http://t.co…
10-03-2015,"Over 700,000 retailers in the U.S. are now accepting Apple Pay. #AppleWatchEvent $AAPL http://t.co/OWz1xdbpjj"
05-03-2015,"Fast Company's ""You Guys Realize the Apple Watch is Going to Flop, Right?"" $AAPL http://t.co/fqEki0fruC  Short AAPL"
04-03-2015,$AAPL Notice also that AAPL went green
10-03-2015,#AppleWatch -- here's why people hate it so much  @Computerworld $AAPL  ~~~ http://t.co/AuJ5amB9r1 ~~~
10-03-2015,$AAPL is up 2% or ~$15B today. Sharp rise since start of event: http://t.co/3BSTNN88H4
15-03-2015,"Sunday links: thinking independently, $IWM vs. $SPY and always follow the money. http://t.co/eewCX3uNFB $TLT $AAPL $SCHW"
19-03-2015,How Apple’s stock will influence the Dow — beginning this morning: http://t.co/xHtrC9sKPz $AAPL $DJIA
